/news/2014/09/1/7036472/	Росію тимчасово можуть виключити з Великої двадцятки - ЗМІ	p
/news/2014/09/1/7036471/	Бійці "Азова" кілька годин утримували двох журналістів з РФ, потім погодилися на репортаж	p
/news/2014/09/1/7036470/	Порошенко: Ситуація важка, але український бойовий дух сильніший	p
/news/2014/09/1/7036469/	Силам АТО протистоїть 15-тисячне військо. Генштаб створює партизанський рух	p
/news/2014/09/1/7036468/	Рубан заявив про звільнення близько 30 військових з полону	p
/news/2014/09/1/7036467/	США почали головувати в Радбезі ООН	p
/news/2014/09/1/7036465/	У Росії "шоковані" заявами Гелетея	n
http://www.epravda.com.ua/news/2014/09/1/487745/	За 5 років Україна може знизити споживання газу на 5 мільярдів кубів	p
/news/2014/09/1/7036463/	Порошенко вирішив поки не вводити воєнний стан	p
/news/2014/09/1/7036462/	Київрада може заборонити використання феєрверків	p
http://www.epravda.com.ua/news/2014/09/1/487732/	Росія фінансує "ДНР" гривнями, які залишилися в Криму	n
/news/2014/09/1/7036460/	Міліція у неділю затримала авто бійців "Айдару", яким перевозили зброю	n
/news/2014/09/1/7036459/	У групі Кінаха кажуть, що вони не підтримували пропорційну виборчу систему	n
http://www.eurointegration.com.ua/news/2014/09/1/7025570/	ЄС може ввести заборону на купівлю держборгу Росії	p
/news/2014/09/1/7036457/	Очевидці: Бойовики взяли Новотроїцьке	n
/news/2014/09/1/7036456/	ЗМІ: Путін погрожував Баррозу взяти Київ за два тижні	n
http://www.epravda.com.ua/news/2014/09/1/487715/	Австрія заморозила спільний бізнес Курченка і Азарова	p
/news/2014/09/1/7036454/	Сили АТО закріпилися в 90-та км від Маріуполя	p
/news/2014/09/1/7036453/	Генпрокуратура України призначила прокурора Криму	p
/news/2014/09/1/7036452/	РНБО: На Донбасі на зміну бойовикам приходять професійні військові РФ	n
/news/2014/09/1/7036450/	Гелетей: Росія програла гібридну війну	p
/news/2014/09/1/7036449/	Сенатор США: в Україні Росія воює проти Європи	p
/news/2014/09/1/7036446/	СБУ викрила контрабанду прицілів до систем "Град"	p
/news/2014/09/1/7036445/	Расмуссен натякнув Франції, що негоже нехтувати думкою НАТО щодо "Містралей"	p
http://www.eurointegration.com.ua/news/2014/09/1/7025573/	Меркель: Це не внутрішня криза, а конфлікт України та РФ	p
/news/2014/09/1/7036443/	Міноборони попереджає про вірусні розсилки від імені відомства	n
/news/2014/09/1/7036442/	Гелетей: Спроби змінити начальника Генштабу – провокація Росії	n
http://www.epravda.com.ua/news/2014/09/1/487666/	Гривня на міжбанку зміцнилася на 72 копійки	p
/news/2014/09/1/7036439/	Яценюк згоден із президентом, що пора міняти силове керівництво	p
/news/2014/09/1/7036437/	Порошенко призначив Богомолець своїм радником	p
/news/2014/09/1/7036436/	Семенченко зняв балаклаву	p
/news/2014/09/1/7036435/	Росія не хоче консультацій в рамках Будапештського меморандуму	n
/news/2014/09/1/7036434/	Росія і НАТО стали противниками — Расмуссен	n
/news/2014/09/1/7036432/	Перехоплення: Росія намагається домовитися з бойовиками про викрадення українських військових	n
/news/2014/09/1/7036433/	Генсеку ОБСЄ важко перевірити присутність російських військ в Україні	n
/news/2014/09/1/7036428/	У Яценюка хочуть штрафувати за невчасну оплату комуналки	p
http://life.pravda.com.ua/society/2014/09/1/179329/	В Україну повернулося літо	p
/news/2014/09/1/7036426/	Меркель підтримала посилення санкцій проти Росії	p
/news/2014/09/1/7036425/	Норвегія виділить на реформи в Україні $30 млн	p
http://www.eurointegration.com.ua/news/2014/09/1/7025560/	НАТО запропонує конкретні кроки допомоги Україні - Расмуссен	p
/news/2014/09/1/7036424/	Сікорські: Санкції вплинуть на Росію згодом, а Україна бореться вже зараз	p
/news/2014/09/1/7036420/	Нацбанк заборонив видачу валюти за картками	n
http://www.epravda.com.ua/news/2014/09/1/487612/	НБУ підвищив офіційний курс гривні на 50 копійок	p
/news/2014/09/1/7036417/	МЗС Німеччини: остання стадія конфлікту Росії з Україною ще не досягнута	n
/news/2014/09/1/7036416/	Яценюк привіз орден Семенченку в лікарню	p
http://kiev.pravda.com.ua/news/5404586929532/	Уже 1 вересня у школах, садках і лікарнях Києва з’явиться гаряча вода - Кличко	p
/news/2014/09/1/7036414/	У полоні знаходиться 680 українських військових - Рубан	n
http://www.eurointegration.com.ua/news/2014/09/1/7025554/	Генерал НАТО: Нові сили швидкого реагування стримуватимуть РФ	p
/news/2014/09/1/7036410/	За минулу добу сильно постраждала східна частина Луганська	n
/news/2014/09/1/7036409/	Рада хоче почути пояснення Гелетея про Іловайськ	n
http://www.epravda.com.ua/news/2014/09/1/487601/	Рубль обвалився на Московській біржі	p
http://www.istpravda.com.ua/short/2014/09/1/144471/	У вересні 1939-го проти Гітлера воювали 100 тисяч українців - історик	p
/news/2014/09/1/7036407/	Путін розкрив плани бойовиків на Донбасі	n
/news/2014/09/1/7036406/	Порошенко порадиться із лідерами фракцій щодо воєнного стану - Соболєв	n
/news/2014/09/1/7036402/	Соболєв: Усі фракції вперше погодилися з відкритими списками	p
/news/2014/09/1/7036403/	Активісти Майдану створюють свій спецбатальйон 	p
/news/2014/09/1/7036401/	Українців попереджають про можливі відключення світла	n
http://www.epravda.com.ua/news/2014/09/1/487588/	Долар на міжбанку трохи зріс	n
